,binary,cwe_checker,yara_rules,cve_bin_tool,size,compiler,static,domain
206,ipcs,21,0,0,71912,Unk,FALSE,System
207,ivstools,40,3,0,55448,Unk,FALSE,System
208,join,23,0,0,56224,Unk,FALSE,System
209,journalctl,6,0,13,63576,Unk,FALSE,System
216,kismetdb_to_pcap,657,0,0,503088,gcc(3.X),FALSE,System
230,kmod,285,0,0,149688,Unk,FALSE,System
231,l2ping,26,0,0,143400,Unk,FALSE,Network
232,l2test,27,0,0,156016,Unk,FALSE,Network
233,ld,360,7,0,1997432,gcc(GNU),TRUE,System
240,ldapsearch,86,1,3,92352,Unk,FALSE,Network
242,ldrdf,55,2,0,109160,Unk,FALSE,System
243,lefty,273,0,0,298320,Unk,FALSE,System
244,less,121,0,0,170760,Unk,FALSE,System
245,lexgrog,17,0,0,101344,Unk,FALSE,System
246,light-locker,1,0,18,109176,Unk,FALSE,System
247,line_send_tcp,116,2,0,72192,Unk,FALSE,Network
248,ln,51,0,0,67808,Unk,FALSE,System
249,loadkeys,64,0,0,211528,Unk,FALSE,System
250,locale,25,0,0,55336,Unk,FALSE,System
251,localedef,336,1,0,315136,Unk,FALSE,System
252,logger,50,0,18,52040,Unk,FALSE,System
253,login,51,0,0,52664,Unk,FALSE,System
254,logtop,19,0,0,220984,gcc(Alpine),FALSE,System
255,lowntfs-3g,80,1,0,109232,Unk,FALSE,System
256,ls,158,0,0,133792,Unk,FALSE,System
258,lsciphers,669,1,0,1718744,Unk,TRUE,System
270,make,469,1,0,240280,Unk,FALSE,System
271,man,61,0,0,115600,Unk,FALSE,System
272,mandb,50,1,0,138392,Unk,FALSE,System
273,mariadb,858,4,2,4139000,gcc(-),FALSE,System
287,masscan,451,8,0,492912,Unk,FALSE,Network
288,mate-calc,119,1,0,305368,Unk,FALSE,System
289,mate-calc-cmd,114,1,0,149080,Unk,FALSE,System
290,mawk,97,0,0,158296,Unk,FALSE,System
291,md5deep,188,5,0,244120,gcc(3.X),FALSE,System
292,mdsearch,76,0,6,80328,Unk,FALSE,System
293,medusa,140,1,0,71704,Unk,FALSE,Network
294,metaflac,95,0,0,122912,Unk,FALSE,System
295,mingle,325,0,0,422480,gcc(3.X),FALSE,System
296,minicom,203,0,0,211640,Unk,FALSE,Network
297,mkdir,52,0,0,80056,Unk,FALSE,System
298,mkfifo,37,0,0,68704,Unk,FALSE,System
299,mkfs.btrfs,247,2,0,396464,Unk,FALSE,System
300,mknod,39,0,0,67768,Unk,FALSE,System
301,mksquashfs,158,0,0,207840,Unk,FALSE,System
302,mm2gv,102,0,0,88752,Unk,FALSE,System
303,mmcli,27,0,0,226336,Unk,FALSE,System
304,more,23,0,0,59632,Unk,FALSE,System
305,mount,23,0,0,55528,Unk,FALSE,System
306,mousepad,36,0,0,338960,Unk,FALSE,System
307,mpg123.bin,113,1,0,158280,Unk,FALSE,System
308,mpris-proxy,15,0,0,96704,Unk,FALSE,Network
309,mpstat,69,0,0,63808,Unk,FALSE,System
310,msrpcfuzz,130,2,0,68104,Unk,FALSE,Network
311,msrpcfuzz_udp,130,2,0,68104,Unk,FALSE,Network
312,mt-gnu,105,0,77,80512,Unk,FALSE,System
313,mv,94,0,0,137440,Unk,FALSE,System
314,myisamchk,511,1,0,3994880,Unk,FALSE,System
318,my_print_defaults,242,1,0,3591328,Unk,FALSE,System
319,nano,319,0,0,245872,gcc(Alpine),FALSE,System
320,nasm,1161,2,0,1739352,Unk,FALSE,System
321,ncdu,138,1,0,403280,gcc(GNU),TRUE,System
322,ncrack,585,10,25,667200,gcc(3.X),FALSE,Network
323,ndisasm,29,0,0,1300696,Unk,FALSE,System
324,net,374,2,6,973856,Unk,FALSE,Network
325,netkit-ftp,50,0,0,102008,Unk,FALSE,Network
326,netstat,138,0,0,154192,Unk,FALSE,Network
327,networkctl,15,0,0,96480,Unk,FALSE,Network
328,nl,138,0,0,113696,Unk,FALSE,System
329,nm,289,4,0,1176248,gcc(GNU),TRUE,System
330,nm-applet,33,0,0,250784,Unk,FALSE,System
331,nm-connection-editor,25,0,0,787752,Unk,FALSE,System
332,nmap_centos5,1046,4,0,9461651,gcc(3.X),TRUE,Network
333,nmblookup,42,0,6,141632,Unk,FALSE,Network
334,nmcli,330,2,0,925640,Unk,FALSE,Network
335,nmtui,183,1,0,727600,Unk,FALSE,Network
336,nslookup,75,0,0,109216,Unk,FALSE,Network
337,nstat,34,0,0,80112,Unk,FALSE,Network
338,nsupdate,102,0,0,72064,Unk,FALSE,Network
339,ntfs-3g,92,1,0,146128,Unk,FALSE,System
340,ntfsdecrypt,12,0,0,51320,Unk,FALSE,System
341,ntfsinfo,5,0,0,55416,Unk,FALSE,System
342,ntfsrecover,146,0,0,116840,Unk,FALSE,System
343,ntfswipe,19,0,0,51848,Unk,FALSE,System
344,ntlm2,184,2,0,81368,Unk,FALSE,System
345,ntlm_brute,180,2,0,81336,Unk,FALSE,Network
346,ntpdc,24,0,0,153736,Unk,FALSE,Network
347,ntpq,108,0,0,192680,Unk,FALSE,Network
