,binary,cwe_checker,yara_rules,cve_bin_tool,size,compiler,static,Domain
299,mkfs.btrfs,247,2,0,396464,Unk,FALSE,System
300,mknod,39,0,0,67768,Unk,FALSE,System
301,mksquashfs,158,0,0,207840,Unk,FALSE,System
302,mm2gv,102,0,0,88752,Unk,FALSE,System
303,mmcli,27,0,0,226336,Unk,FALSE,System
304,more,23,0,0,59632,Unk,FALSE,System
305,mount,23,0,0,55528,Unk,FALSE,System
306,mousepad,36,0,0,338960,Unk,FALSE,System
307,mpg123.bin,113,1,0,158280,Unk,FALSE,System
308,mpris-proxy,15,0,0,96704,Unk,FALSE,Network
309,mpstat,69,0,0,63808,Unk,FALSE,System
310,msrpcfuzz,130,2,0,68104,Unk,FALSE,Network
311,msrpcfuzz_udp,130,2,0,68104,Unk,FALSE,Network
312,mt-gnu,105,0,77,80512,Unk,FALSE,System
313,mv,94,0,0,137440,Unk,FALSE,System
314,myisamchk,511,1,0,3994880,Unk,FALSE,System
315,myisamlog,446,1,0,3857920,Unk,FALSE,System
316,myisampack,471,1,0,3892352,Unk,FALSE,System
317,myisam_ftdump,463,1,0,3871296,Unk,FALSE,System
318,my_print_defaults,242,1,0,3591328,Unk,FALSE,System
319,nano,319,0,0,245872,gcc(Alpine),FALSE,System
320,nasm,1161,2,0,1739352,Unk,FALSE,System
321,ncdu,138,1,0,403280,gcc(GNU),TRUE,System
322,ncrack,585,10,25,667200,gcc(3.X),FALSE,Network
323,ndisasm,29,0,0,1300696,Unk,FALSE,System
324,net,374,2,6,973856,Unk,FALSE,Network
325,netkit-ftp,50,0,0,102008,Unk,FALSE,Network
326,netstat,138,0,0,154192,Unk,FALSE,Network
327,networkctl,15,0,0,96480,Unk,FALSE,Network
328,nl,138,0,0,113696,Unk,FALSE,System
329,nm,289,4,0,1176248,gcc(GNU),TRUE,System
330,nm-applet,33,0,0,250784,Unk,FALSE,System
331,nm-connection-editor,25,0,0,787752,Unk,FALSE,System
332,nmap_centos5,1046,4,0,9461651,gcc(3.X),TRUE,Network
333,nmblookup,42,0,6,141632,Unk,FALSE,Network
334,nmcli,330,2,0,925640,Unk,FALSE,Network
335,nmtui,183,1,0,727600,Unk,FALSE,Network
336,nslookup,75,0,0,109216,Unk,FALSE,Network
337,nstat,34,0,0,80112,Unk,FALSE,Network
338,nsupdate,102,0,0,72064,Unk,FALSE,Network
339,ntfs-3g,92,1,0,146128,Unk,FALSE,System
340,ntfsdecrypt,12,0,0,51320,Unk,FALSE,System
341,ntfsinfo,5,0,0,55416,Unk,FALSE,System
342,ntfsrecover,146,0,0,116840,Unk,FALSE,System
343,ntfswipe,19,0,0,51848,Unk,FALSE,System
344,ntlm2,184,2,0,81368,Unk,FALSE,System
345,ntlm_brute,180,2,0,81336,Unk,FALSE,Network
346,ntpdc,24,0,0,153736,Unk,FALSE,Network
347,ntpq,108,0,0,192680,Unk,FALSE,Network
348,numfmt,42,0,0,68576,Unk,FALSE,System
349,obexctl,58,0,0,182576,Unk,FALSE,Network
350,objcopy,124,4,0,1343096,gcc(GNU),TRUE,System
351,objdump,146,4,0,2282744,gcc(GNU),TRUE,System
352,od,35,0,0,72640,Unk,FALSE,System
353,onesixtyone,9,0,0,161952,Unk,FALSE,Network
354,openfortivpn,97,0,18,108616,Unk,FALSE,Network
355,openssl,113,3,5,736792,Unk,FALSE,Network
356,ophcrack,312,3,0,441448,gcc(3.X),FALSE,System
357,ophcrack-cli,283,3,0,154568,Unk,FALSE,System
358,out123,72,0,0,67760,Unk,FALSE,System
359,pacat,3,0,0,51472,Unk,FALSE,System
360,packetforge-ng,71,3,0,76008,Unk,FALSE,Network
361,packetq,87,2,0,535688,gcc(Alpine),FALSE,Network
362,pactl,3,0,0,71928,Unk,FALSE,Network
363,parole,41,0,20,410560,Unk,FALSE,System
364,partx,76,0,0,116976,Unk,FALSE,System
365,passwd,26,0,0,63960,Unk,FALSE,System
366,patch,162,0,0,191936,Unk,FALSE,System
367,pavucontrol,10,0,0,485576,gcc(3.X),FALSE,System
368,perl,1606,2,0,3677056,Unk,FALSE,System
369,perl5.32.1,1606,2,0,3677056,Unk,FALSE,System
370,perror,244,1,0,3788288,Unk,FALSE,System
371,photorec,244,5,0,633624,Unk,FALSE,System
372,pic,97,0,0,225472,gcc(3.X),FALSE,System
373,pidstat,46,0,0,72000,Unk,FALSE,System
374,pinentry-curses,63,0,0,63992,Unk,FALSE,System
375,pinentry-gnome3,74,0,0,76280,Unk,FALSE,System
376,ping,18,0,0,64424,Unk,FALSE,Network
377,pixiewps,34,2,0,96328,Unk,FALSE,Network
378,pmspike,121,2,0,63984,Unk,FALSE,System
379,post_fuzz,125,2,0,63992,Unk,FALSE,System
380,post_spike,128,2,0,63992,Unk,FALSE,System
381,pr,51,0,0,76896,Unk,FALSE,System
382,preconv,97,1,0,63848,gcc(3.X),FALSE,System
383,printf,23,0,0,60256,Unk,FALSE,System
384,procan,67,0,0,81776,Unk,FALSE,System
385,profiles,30,0,6,51352,Unk,FALSE,System
386,proxytunnel,70,1,0,52152,Unk,FALSE,Network
387,ps,100,0,0,133432,Unk,FALSE,System
388,pstat,206,1,0,285784,gcc(3.X),FALSE,System
389,pth-curl,392,3,51,624432,Unk,TRUE,Network
390,ptx,163,0,0,138336,Unk,FALSE,System
391,pulseaudio,2,0,18,96584,Unk,FALSE,Network
392,pv,10,0,0,136280,gcc(Alpine),FALSE,System
393,qt5ct,10,0,0,530832,gcc(3.X),FALSE,System
394,quake,117,2,0,63992,Unk,FALSE,Network
395,quakeserver,117,2,0,63992,Unk,FALSE,Network
396,r2agent,254,1,0,155824,Unk,FALSE,Network
397,r2r,294,1,0,200880,Unk,FALSE,System
398,rabin2,254,1,0,155824,Unk,FALSE,System
399,radare2,256,1,0,155824,Unk,FALSE,System
400,radiff2,254,1,0,155824,Unk,FALSE,System
401,rafind2,254,1,0,155824,Unk,FALSE,System
402,ragg2,254,1,0,155824,Unk,FALSE,System
403,rahash2,254,1,0,155824,Unk,FALSE,System
404,ranlib,278,4,0,1195384,gcc(GNU),TRUE,System
405,rarun2,254,1,0,155824,Unk,FALSE,System
406,rasign2,254,1,0,155824,Unk,FALSE,System
407,rasm2,254,1,0,155824,Unk,FALSE,System
408,rawshark,16,0,0,104520,Unk,FALSE,Network
409,rax2,254,1,0,155824,Unk,FALSE,System
410,rb,16,2,0,75136,Unk,FALSE,System
411,rctest,50,0,0,185992,Unk,FALSE,Network
412,rdesktop,480,4,0,534048,Unk,FALSE,Network
413,rdf2bin,56,2,0,96768,Unk,FALSE,System
414,rdma,63,0,0,133360,Unk,FALSE,System
415,readelf,53,0,0,656696,gcc(GNU),TRUE,System
416,readlink,25,0,0,52032,Unk,FALSE,System
417,realpath,27,0,0,56160,Unk,FALSE,System
418,rearj,59,1,0,62640,Unk,FALSE,System
419,reaver,268,9,0,835440,Unk,FALSE,Network
420,recordmydesktop,105,0,0,97824,Unk,FALSE,System
421,redir,21,0,0,84848,gcc(Alpine),FALSE,Network
422,rendercheck,42,0,0,57760,Unk,FALSE,System
423,replace,228,1,0,3569408,Unk,FALSE,System
424,resizepart,33,0,0,63720,Unk,FALSE,System
425,resolvectl,24,0,0,129400,Unk,FALSE,Network
426,resolveip,241,1,0,3586496,Unk,FALSE,Network
427,resolve_stack_dump,241,1,2,3586496,Unk,FALSE,System
428,rfcomm,36,0,0,152272,Unk,FALSE,Network
429,ristretto,4,0,0,262472,Unk,FALSE,System
430,rm,35,0,0,63704,Unk,FALSE,System
431,rmdir,26,0,0,52032,Unk,FALSE,System
432,rpcclient,267,0,6,1362264,Unk,FALSE,Network
433,rpcgen,80,0,0,97256,Unk,FALSE,Network
434,rsync,460,1,0,493096,Unk,FALSE,Network
435,rx,16,2,0,75136,Unk,FALSE,System
436,rz,16,2,0,75136,Unk,FALSE,System
437,sadf,217,0,0,424208,Unk,FALSE,System
438,samba-regedit,22,0,6,101464,Unk,FALSE,System
439,sane-find-scanner,102,0,0,142184,Unk,FALSE,System
440,sar.sysstat,139,0,0,148816,Unk,FALSE,System
441,sb,12,2,0,79296,Unk,FALSE,Network
442,sbd,20,0,0,51824,Unk,FALSE,Network
443,scalpel,81,0,0,55288,Unk,FALSE,System
444,scanimage,54,0,0,52184,Unk,FALSE,System
445,scp,134,2,0,116880,Unk,FALSE,Network
446,screen,507,1,0,482312,Unk,FALSE,Network
447,script,19,0,0,67816,Unk,FALSE,System
448,scriptlive,18,0,0,55528,Unk,FALSE,System
449,sdptool,63,0,0,255088,Unk,FALSE,Network
450,sed,66,0,0,109000,Unk,FALSE,System
451,sendmsrpc,126,2,0,64008,Unk,FALSE,Network
452,seq,41,0,0,56192,Unk,FALSE,System
453,sftp,170,2,0,174440,Unk,FALSE,Network
454,sha1deep,188,5,0,244120,gcc(3.X),FALSE,System
455,sha1sum,15,2,0,52128,Unk,FALSE,System
456,sha224sum,16,1,0,64416,Unk,FALSE,System
457,sha256deep,188,5,0,244120,gcc(3.X),FALSE,System
458,sha256sum,16,1,0,64416,Unk,FALSE,System
459,sha384sum,16,2,0,68512,Unk,FALSE,System
460,sha512sum,16,2,0,68512,Unk,FALSE,System
461,sharkd,29,0,0,165968,Unk,FALSE,Network
462,shred,45,0,0,64608,Unk,FALSE,System
463,shuf,22,0,0,60384,Unk,FALSE,System
464,size,282,4,0,1166520,gcc(GNU),TRUE,System
465,skipfish,650,1,0,303136,Unk,FALSE,Network
466,smbclient,46,0,6,153936,Unk,FALSE,Network
467,smbcontrol,21,0,6,60016,Unk,FALSE,Network
468,snmpnetstat,115,0,0,74280,Unk,FALSE,Network
469,socat,52,0,0,375176,gcc(Alpine),FALSE,Network
470,sort,70,1,0,118408,Unk,FALSE,System
471,speech-dispatcher,61,0,0,170248,Unk,FALSE,System
472,split,29,0,0,60896,Unk,FALSE,System
473,spooftooph,116,0,0,57616,Unk,TRUE,Network
